Title,Cuisine,Category,Ingridients,Instructions,Image,Link,Ratings,Unnamed: 0,graph_ingredient
Lemon Tea Cake Recipe: How to make Lemon Tea Cake Recipe for Christmas at Home | Homemade Lemon Tea Cake Recipe - Times Food,Continental,desserts,"['3 lemon', '150 gm brown sugar', '8 gm baking powder', '60 ml milk', '180 gm all purpose flour', '2 egg', '125 gm butter']","The very first step to prepare this incredibly delicious cake recipe is to preheat the oven at 180 degrees Celsius. Next, squeeze the lemon to take out the lemon juice and scrape the zest out of it in a small bowl. Keep them aside until required.
Now, in a medium to large mixing bowl, add butter along with brown sugar and beat them together to make a cream. Once done, crack open the eggs in it and beat the mixture using an electric beater until light and fluffy. Now, fold in the dry ingredients i.e., lemon zest, baking powder, and all purpose flour. Mix well and then add lemon juice in it and using a spatula, fold together all the ingredients. Finally, add milk to make the right consistency of Lemon Cake batter.
Once the cake batter is ready, take a loaf tin and using a kitchen brush, apply a little butter all over it. Then, pour the lemon cake batter in the tin evenly and bake the cake for 45 minutes at 180 degrees Celsius. When the lemon cake is ready, take it out and let cool for 5 minutes. Turn it out onto a plate and cut into pieces. This cake is surely going to hit the sweet spot.",https://static.toiimg.com/thumb/70188095.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/lemon-tea-cake/rs70188095.cms,4.0,9511.0,"lemon, brown sugar, baking powder, milk, flour, egg, butter"
Lemon Bites Recipe,Continental,desserts,"['1 lemon', '1/2 cup butter', '1/4 teaspoon salt', '1 egg', '4 cup all purpose flour', '1 egg whites', '3/4 teaspoon caster sugar', '1 dash baking powder']","To prepare this delicious recipe begin with preheating your oven to 180 Celsius. Next brush your baking tray with some oil.
Now take a deep-bottomed bowl and add all purpose flour, sugar and salt in it. Mix all the ingredients well. Now add butter to this mixture and bake it for 12 minutes. Once done, allow the mixture to cool down.
Now in another bowl, beat the egg white and sugar. Now using a grater, gently grate the skin of the lemon in the bowl followed by adding the lemon juice to the egg mixture.
Next, to this mixture add in the remaining flour and baking powder and mix all the ingredients well. Once done, transfer the mixture on the lemon bites base and bake for 25 minutes. Once done garnish your bites with some caster sugar. Serve!",https://static.toiimg.com/thumb/59633704.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/lemon-bites/rs59633704.cms,2.0,2537.0,"lemon, butter, egg, flour, egg white, caster sugar, baking powder"
Lemon Cookies Recipe,Continental,snacks,"['210 gm ricotta cheese', '1 cup sugar', '1 egg', '2 cup all purpose flour', '1/2 teaspoon baking soda', '1 cup unsalted butter', '1 teaspoon vanilla extract', '1/4 teaspoon salt', '1 tablespoon grated lemon peel']","To begin with, preheat the oven to 175 degrees Celsius. In the meantime, take a bowl and add ricotta cheese, butter, sugar, salt, eggs along with vanilla extract and mix thoroughly.
Gradually, add flour and baking soda to the mixture. Stir in lemon peel. Grease cookie sheet with butter. Then roll out few lemon sized balls and place them on the sheet. Bake for about 10-15 minutes.
Once done, take them out and allow them to cool. Your Lemon Cookies are ready to be served and savoured.",https://static.toiimg.com/thumb/60763779.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/lemon-cookies/rs60763779.cms,5.0,996.0,"ricotta cheese, sugar, egg, flour, baking soda, butter, vanilla extract, lemon"
Lemon Raspberry Coffee Cake Recipe,Continental,desserts,"['1 1/2 cup all purpose flour', '1/2 cup milk', '1/2 cup sour cream', '2 egg', '1 1/2 tablespoon grated lemon peel', '1 1/2 teaspoon baking powder', '3/4 cup sugar', '4 tablespoon butter', '1 1/2 tablespoon lemon juice', '1/2 cup raspberries']","Start by preheating the oven at a temperature of 350 degrees Celsius. Meanwhile, combine all-purpose flour along with the baking powder in a separate bowl. After this, break the eggs in the same bowl and add milk, sugar, sour cream, butter, lemon juice, lemon peels and mix until the batter is of thick consistency. Add most of the raspberries to it and mix well.
Now, grease the baking pan with a little butter and pour the batter prepared above evenly into the pan. Sprinkle some sugar along with all-purpose flour and melted butter over it. Slide it to the preheated oven and bake for a minimum of 35 minutes until its cooked well and the upper surface of the cake puffs up a little.
Remove from the oven after the cake is baked and set aside to cool. Garnish with some extra frozen raspberries and serve cold.",https://static.toiimg.com/thumb/61561646.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/lemon-raspberry-coffee-cake/rs61561646.cms,,6105.0,"flour, milk, sour cream, egg, lemon, baking powder, sugar, butter, lemon juice, raspberry"
Fried Eggs Recipe,American,breakfast,"['3 egg', '1 teaspoon mixed herbs', '2 teaspoon butter']","To make this easy recipe, put a pan on medium flame and melt butter in it. When the butter is melted, crack the eggs into the pan.
Cover the pan with a lid and cook until white is light golden underneath. Season with mixed herbs and enjoy with a toasted bread. Serve immediately. (Note: You can also use salt and pepper along with other spices, if you want.)",https://static.toiimg.com/thumb/57389492.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/fried-eggs/rs57389492.cms,5.0,9197.0,"egg, herb, butter"
Egg Butter Recipe,Continental,breakfast,"['4 egg', 'black pepper as required', '5 tablespoon butter', 'salt as required']","Boil 4 eggs for about 10-15 minutes in a cooker on medium flame until hard. Take the eggs out once done and allow them to cool.
Peel and Chop the eggs into small pieces. Mash them in a bowl with butter using a fork until mixture is spreadable.
Add salt and pepper to taste. Your Egg butter is ready to serve.",https://static.toiimg.com/thumb/57330641.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/egg-butter/rs57330641.cms,,3641.0,"egg, black pepper, butter"
French Toast Recipe,Continental,breakfast,"['3 egg', 'salt as required', '4 teaspoon butter', '2 bread slices', 'black pepper as required']","To start with. Take a bowl and crack the eggs in it. Season it with salt and pepper. Beat the egg mixture thoroughly until yellowish and creamy.
Now, heat butter in a non-stick pan. Take the breads and dip in the egg mixture. Place the bread slices on the pan and cook until golden brown. When done, flip gently and cook the other side as well.
When the bread slices are cooked, serve it with tomato ketchup or any favorite sauce of yours.",https://static.toiimg.com/thumb/60939140.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/french-toast/rs60939140.cms,5.0,7842.0,"egg, butter, bread, black pepper"
Easy Scrambled Eggs Recipe,Continental,breakfast,"['2 egg', 'salt as required', '5 tablespoon milk', '2 tablespoon butter', 'black pepper as required']","To make this easy recipe, take a medium sized mixing bowl and beat in eggs and milk. Adjust salt and pepper according to your taste and whisk the mixture well until completely blended. Keep this mixture aside.
Now, melt butter over a medium-high heat in a non-stick skillet. After the butter completely melted, add the egg mixture and let it cook. Using a wooden spatula or spoon, fold and bring together the edges of the eggs and gently scramble them until cooked. Make sure the consistency is slightly runny and loose. Turn off the flame and keep on stirring the scrambled eggs for a minute. Transfer the eggs to a serving plate and serve hot and fresh.",https://static.toiimg.com/thumb/57590348.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/easy-scrambled-eggs/rs57590348.cms,,4267.0,"egg, milk, butter, black pepper"
Cocoa Sponge Cake Recipe,Continental,desserts,"['500 gm cake mix', '6 egg', '65 ml water']","To prepare your very own Cocoa Sponge Cake recipe, take a bowl and add the readymade chocolate cake mix along with water and egg. Take a hand mixer and whisk everything nicely for about 8 minutes. Make sure the batter is light and airy.
Put this batter in a cake mould or a baking tray. Put the cake mould or baking tray in the oven. Bake for around 25 mins or more in case the cake has not baked properly. Your Cocoa Sponge Cake is ready to be served.",https://static.toiimg.com/thumb/69554597.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/cocoa-sponge-cake/rs69554597.cms,,107.0,"cake mix, egg"
Cheesy Scrambled Eggs Recipe: How to Make Cheesy Scrambled Eggs Recipe | Homemade Cheesy Scrambled Eggs Recipe - Times Food,Continental,breakfast,"['12 egg', 'salt as required', '1 cup shredded cheese-cheddar', '1/2 cup milk', '4 teaspoon melted butter']","Combine milk, eggs and salt in a bowl. Whisk well.
Heat butter in a non-stick pan over medium flame. Add the eggs and cook for a minute or two. Scramble them lightly. Sprinkle cheese and remove the pan from heat.
Keep aside for a minute until the cheese has melted. Serve warm.",https://static.toiimg.com/thumb/54425769.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/cheesy-scrambled-eggs/rs54425769.cms,4.0,2213.0,"egg, cheese, milk, butter"
